;;level_0;level_0;level_0;level_0;level_0;level_0;level_0;level_0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;Unnamed: 0;index;index;index;index;index;index;index;index;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Auftragsnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Prozessnummer;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Arbeitsstation;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;Transportzeit;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;werkstueckID;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Bearbeitungszeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Transportzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s;Durchlaufzeit_s
;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Prozessschritt;Produktvariante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;8010;59.0;607.0847457627119;414.4986705247009;2.0;254.0;614.0;971.0;1310.0;59.0;602.5084745762712;417.77829349207485;2.0;269.0;614.0;971.0;1310.0;59.0;602.5084745762712;417.77829349207485;2.0;269.0;614.0;971.0;1310.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;302.0;0.0;302.0;302.0;302.0;302.0;302.0;59.0;8.0;0.0;8.0;8.0;8.0;8.0;8.0;59.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;106.20338983050847;16.61405684541417;27.0;103.0;103.0;103.0;157.0;59.0;522.0847457627119;317.7661408654763;96.0;262.0;467.00000000000006;780.0;1420.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;8011;57.0;618.3157894736842;383.3176209049626;62.0;236.0;662.0;896.0;1268.0;57.0;634.5964912280701;365.8952748127882;62.0;254.0;662.0;896.0;1268.0;57.0;634.5964912280701;365.8952748127882;62.0;254.0;662.0;896.0;1268.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;304.0;0.0;304.0;304.0;304.0;304.0;304.0;57.0;8.0;0.0;8.0;8.0;8.0;8.0;8.0;57.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;120.15789473684211;39.90694062158157;111.0;111.0;112.0;112.0;384.0;57.0;589.578947368421;281.29026361752204;94.0;354.0;597.0;757.0;1217.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;8110;47.0;760.4255319148937;321.613577522768;272.0;521.0;752.0;1001.0;1292.0;47.0;746.063829787234;326.62898805401176;273.0;432.0;752.0;1001.0;1280.0;47.0;746.063829787234;326.62898805401176;273.0;432.0;752.0;1001.0;1280.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;300.0;0.0;300.0;300.0;300.0;300.0;300.0;47.0;8.0;0.0;8.0;8.0;8.0;8.0;8.0;47.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;94.0;13.889314003155839;90.0;90.0;91.0;91.0;176.0;47.0;637.1276595744681;202.28957043128275;149.0;506.5;654.0;765.0;984.0000000000001;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;8111;56.0;658.25;377.157611134077;122.0;264.5;785.0;957.5;1280.0;56.0;660.2321428571429;389.32580378586067;74.0;266.5;785.0;980.0;1292.0;56.0;660.2321428571429;389.32580378586067;74.0;266.5;785.0;980.0;1292.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;300.0;0.0;300.0;300.0;300.0;300.0;300.0;56.0;8.0;0.0;8.0;8.0;8.0;8.0;8.0;56.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;104.07142857142857;31.50114407322501;13.0;99.0;99.0;100.0;306.0;56.0;534.875;191.30984506339922;131.0;414.75;518.5;663.75;951.0000000000001;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;8010;59.0;608.0847457627119;414.4986705247009;3.0;255.0;615.0;972.0;1311.0;59.0;603.4067796610169;417.62832505025114;3.0;270.0;615.0;972.0;1311.0;59.0;603.4067796610169;417.62832505025114;3.0;270.0;615.0;972.0;1311.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;59.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;59.0;63.0;0.0;63.0;63.0;63.0;63.0;63.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;12.305084745762711;77.03721765960967;2.0;2.0;2.0;3.0;594.0;59.0;55.52542372881356;14.535753698835858;41.0;46.0;52.0;59.50000000000001;119.00000000000001;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;8011;57.0;619.3157894736842;383.3176209049626;63.0;237.0;663.0;897.0;1269.0;57.0;635.5964912280701;365.8952748127882;63.0;255.0;663.0;897.0;1269.0;57.0;635.5964912280701;365.8952748127882;63.0;255.0;663.0;897.0;1269.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;57.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;57.0;63.0;0.0;63.0;63.0;63.0;63.0;63.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;2.3333333333333335;0.47559486560567094;2.0;2.0;2.0;3.0;3.0;57.0;56.8421052631579;15.828082495637993;41.0;46.0;53.0;63.00000000000001;126.00000000000001;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;8110;47.0;761.4255319148937;321.613577522768;273.0;522.0;753.0;1002.0;1293.0;47.0;747.063829787234;326.62898805401176;274.0;433.0;753.0;1002.0;1281.0;47.0;747.063829787234;326.62898805401176;274.0;433.0;753.0;1002.0;1281.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;47.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;47.0;63.0;0.0;63.0;63.0;63.0;63.0;63.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;2.25531914893617;0.4407545460261734;2.0;2.0;2.0;2.5;3.0;47.0;57.95744680851064;18.734944618579462;41.0;45.0;52.0;66.5;129.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;8111;56.0;659.25;377.157611134077;123.0;265.5;786.0;958.5;1281.0;56.0;661.2321428571429;389.32580378586067;75.0;267.5;786.0;981.0;1293.0;56.0;661.2321428571429;389.32580378586067;75.0;267.5;786.0;981.0;1293.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;200.0;0.0;200.0;200.0;200.0;200.0;200.0;56.0;6.0;0.0;6.0;6.0;6.0;6.0;6.0;56.0;63.0;0.0;63.0;63.0;63.0;63.0;63.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;2.3035714285714284;0.463960925358742;2.0;2.0;2.0;3.0;3.0;56.0;57.07142857142857;17.592206066486213;41.0;45.0;50.5;64.0;115.00000000000001;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;8010;59.0;609.0847457627119;414.4986705247009;4.0;256.0;616.0;973.0;1312.0;59.0;605.9322033898305;416.049311749377;4.0;271.0;616.0;973.0;1312.0;59.0;605.9322033898305;416.049311749377;4.0;271.0;616.0;973.0;1312.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;110.0;0.0;110.0;110.0;110.0;110.0;110.0;59.0;7.0;0.0;7.0;7.0;7.0;7.0;7.0;59.0;14.0;0.0;14.0;14.0;14.0;14.0;14.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;2.5254237288135593;1.1500514561709967;2.0;2.0;2.0;3.0;7.0;59.0;20.220338983050848;109.14749081681748;-466.00000000000006;13.0;16.0;19.0;693.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;8011;57.0;620.3157894736842;383.3176209049626;64.0;238.0;664.0;898.0;1270.0;57.0;634.0;368.8120892037802;64.0;250.0;664.0;898.0;1270.0;57.0;634.0;368.8120892037802;64.0;250.0;664.0;898.0;1270.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;110.0;0.0;110.0;110.0;110.0;110.0;110.0;57.0;7.0;0.0;7.0;7.0;7.0;7.0;7.0;57.0;14.0;0.0;14.0;14.0;14.0;14.0;14.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;3.736842105263158;10.5703870651347;2.0;2.0;2.0;3.0;82.0;57.0;17.29824561403509;4.898851586562704;13.0;14.0;15.000000000000002;19.0;41.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;8110;47.0;762.4255319148937;321.613577522768;274.0;523.0;754.0;1003.0;1294.0;47.0;750.0212765957447;325.06972425069335;275.0;434.0;754.0;1003.0;1282.0;47.0;750.0212765957447;325.06972425069335;275.0;434.0;754.0;1003.0;1282.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;110.0;0.0;110.0;110.0;110.0;110.0;110.0;47.0;7.0;0.0;7.0;7.0;7.0;7.0;7.0;47.0;14.0;0.0;14.0;14.0;14.0;14.0;14.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;2.5319148936170213;1.396440565677253;2.0;2.0;2.0;3.0;10.0;47.0;16.29787234042553;3.140997443467678;13.0;13.5;16.0;18.5;26.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;8111;56.0;660.25;377.157611134077;124.0;266.5;787.0;959.5;1282.0;56.0;663.8392857142857;388.3198202412642;76.0;268.5;787.0;982.0;1294.0;56.0;663.8392857142857;388.3198202412642;76.0;268.5;787.0;982.0;1294.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;110.0;0.0;110.0;110.0;110.0;110.0;110.0;56.0;7.0;0.0;7.0;7.0;7.0;7.0;7.0;56.0;14.0;0.0;14.0;14.0;14.0;14.0;14.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;2.5535714285714284;1.4883748655025526;2.0;2.0;2.0;3.0;11.0;56.0;15.196428571428571;2.5184384978657843;13.0;13.0;14.0;16.25;22.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;8010;59.0;610.0847457627119;414.4986705247009;5.0;257.0;617.0;974.0;1313.0;59.0;606.9322033898305;416.049311749377;5.0;272.0;617.0;974.0;1313.0;59.0;606.9322033898305;416.049311749377;5.0;272.0;617.0;974.0;1313.0;59.0;1346.1864406779662;12.773186592760991;1329.0;1334.0;1352.0;1358.0;1364.0;59.0;211.0;0.0;211.0;211.0;211.0;211.0;211.0;59.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;59.0;1126.0;0.0;1126.0;1126.0;1126.0;1126.0;1126.0;59.0;101.84745762711864;69.08311175411683;1.0;43.0;103.0;162.5;219.0;59.0;12.220338983050848;0.6712776446543869;11.0;12.0;12.0;12.5;14.0;59.0;103.45762711864407;15.296294383234203;79.0;94.0;100.0;113.5;141.0;59.0;876.8813559322034;319.6298551474471;420.0;600.0;819.0;1135.0;1809.0
60;8011;57.0;621.3157894736842;383.3176209049626;65.0;239.0;665.0;899.0;1271.0;57.0;635.0;368.8120892037802;65.0;251.0;665.0;899.0;1271.0;57.0;635.0;368.8120892037802;65.0;251.0;665.0;899.0;1271.0;57.0;1345.8245614035088;12.262199183753907;1330.0;1333.0;1353.0;1356.0;1363.0;57.0;211.0;0.0;211.0;211.0;211.0;211.0;211.0;57.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;57.0;1126.0;0.0;1126.0;1126.0;1126.0;1126.0;1126.0;57.0;103.71929824561404;63.886270150827094;11.0;40.0;111.0;150.0;212.0;57.0;13.982456140350877;12.169181255576634;11.0;12.0;12.0;13.0;104.0;57.0;102.14035087719299;18.743035465103176;12.0;95.0;102.0;109.0;142.0;57.0;949.1754385964912;282.4073882840063;532.0;701.0;934.0000000000001;1098.0;1572.0
60;8110;47.0;763.4255319148937;321.613577522768;275.0;524.0;755.0;1004.0;1295.0;47.0;747.8510638297872;330.2491798840098;151.0;435.0;755.0;1004.0;1283.0;47.0;747.8510638297872;330.2491798840098;151.0;435.0;755.0;1004.0;1283.0;47.0;1349.404255319149;10.862099193522255;1334.0;1338.0;1354.0;1358.0;1363.0;47.0;211.0;0.0;211.0;211.0;211.0;211.0;211.0;47.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;47.0;1126.0;0.0;1126.0;1126.0;1126.0;1126.0;1126.0;47.0;127.40425531914893;53.60226292046134;46.0;87.5;126.0;167.5;216.0;47.0;12.382978723404255;0.7387766471133711;11.0;12.0;12.0;13.0;14.0;47.0;105.1063829787234;16.494049048794896;77.0;94.0;102.0;113.5;154.0;47.0;973.063829787234;197.22040244745378;495.00000000000006;873.5;985.0000000000001;1102.5;1322.0
60;8111;56.0;661.25;377.157611134077;125.0;267.5;788.0;960.5;1283.0;56.0;663.1785714285714;389.31357341037886;77.0;269.5;788.0;983.0;1295.0;56.0;663.1785714285714;389.31357341037886;77.0;269.5;788.0;983.0;1295.0;56.0;1346.6607142857142;12.051822624459273;1332.0;1334.0;1355.0;1357.5;1363.0;56.0;211.0;0.0;211.0;211.0;211.0;211.0;211.0;56.0;5.0;0.0;5.0;5.0;5.0;5.0;5.0;56.0;1126.0;0.0;1126.0;1126.0;1126.0;1126.0;1126.0;56.0;110.375;62.8596018556795;21.0;44.75;131.5;160.25;214.0;56.0;12.625;1.0011357187078722;11.0;12.0;12.0;13.0;15.000000000000002;56.0;114.48214285714286;66.50522633500415;76.0;94.0;102.0;111.0;580.0;56.0;886.5357142857143;228.42376602078184;435.0;744.0;883.0;996.0000000000001;1622.0
